go	va
stay a while	reste un moment
stay with me	reste avec moi
stay with me	restez avec moi
stay with us	reste avec nous
stay with us	restez avec nous
stay with us	demeure avec nous
stay with us	demeurez avec nous
stop the car	arrete la voiture
stop the car	arretez la voiture
take a break	fais une pause
take a break	faites une pause
take a break	fais une pause
take a whiff	prends une bouffee
that s clear	c est clair
that s crazy	c est fou
that s crazy	c est dingue
that s funny	c est amusant
that s funny	c est drole
that s great	c est grand
that s right	c est vrai
that s right	c est juste
that s right	c est exact
that s right	c est juste
that s weird	c est bizarre
they approve	ils approuvent
they approve	elles approuvent
they gave up	ils ont abandonne
they gave up	elles ont abandonne
they hate us	ils nous detestent
they hate us	elles nous detestent
they know us	elles nous connaissent
they said no	ils dirent non
they said no	elles dirent non
this is easy	c est simple
this is fine	c est parfait
this is free	c est gratuit
this is huge	c est enorme
this is lame	c est mauvais
this is nice	c est chouette
this is sick	c est dingue
this is ugly	c est hideux
this is ugly	c est laid
tom is a spy	tom est un espion
tom is awful	tom est horrible
tom is blind	tom est aveugle
tom is cruel	tom est cruel
tom is drunk	tom est soul
tom is drunk	tom est saoul
tom is drunk	tom est ivre
tom listened	tom ecouta
tom loved it	tom adorait ca
tom stutters	tom begaie
tom was poor	tom etait pauvre
tom will cry	tom va pleurer
tom s afraid	tom est effraye
tom s afraid	tom est apeure
tom s asleep	tom est endormi
tom s famous	tom est celebre
tom s famous	tom est connu
tom s guilty	tom est coupable
try it again	essaie de nouveau
try it again	essaye de nouveau
try it again	essaie a nouveau
try it again	essaye a nouveau
try to sleep	essaie de dormir
try to sleep	essayez de dormir
unbelievable	incroyable
use them all	utilise les tous
use them all	utilise les toutes
use them all	utilisez les tous
use them all	utilisez les toutes
wait a while	attendez un moment
wait a while	attends un moment
we could die	nous pourrions mourir
we get on ok	nous nous entendons bien
we get on ok	on s entend bien
we live here	nous vivons ici
we should go	nous devrions partir
we were busy	nous etions occupes
we were busy	nous etions occupees
we ll attend	nous y assisterons
we ll manage	nous y arriverons
we ll manage	nous nous debrouillerons
what is that	qu est ce
what is this	qu est ceci
where is she	ou est elle
who are they	qui sont ils
who are they	qui sont elles
who has come	qui est venu
who wants it	qui veut ca
who wants it	qui en veut
who wants it	qui le veut
who was here	qui etait ici
who will pay	qui va payer
who will win	qui va gagner
who s hungry	qui a faim
will he live	vivra t il
wish me luck	souhaite moi chance
wish me luck	souhaitez moi chance
write to tom	ecris a tom
write to tom	ecrivez a tom
you amuse me	tu m amuses
you can come	vous pouvez venir
you can help	tu peux aider
you go first	toi d abord
you go first	vous en premier
you may swim	vous pouvez nager
you may swim	tu peux nager
you were shy	tu etais timide
you were shy	vous etiez timide
you ve tried	tu as essaye
you ve tried	vous avez essaye
air the futon	aere le futon
air the futon	aerez le futon
am i included	suis je inclus
am i included	suis je incluse
any questions	des questions
anything else	autre chose
are they busy	sont elles occupees
are they busy	sont ils occupees
are they cops	sont ils flics
are you alone	es tu seul
are you alone	es tu seule
are you alone	etes vous seul
are you alone	etes vous seule
are you angry	tu es fache
are you awake	es tu reveille
are you awake	es tu reveillee
are you blind	etes vous aveugle
are you blind	es tu aveugle
are you bored	vous ennuyez vous
are you bored	t ennuies tu
are you crazy	es tu fou
are you crazy	tu es folle
are you crazy	es tu folle
are you happy	etes vous contents
are you happy	etes vous heureux
are you happy	es tu content
are you happy	etes vous content
are you happy	es tu contente
are you happy	etes vous contente
are you happy	etes vous contentes
are you happy	etes vous heureuses
are you ready	es tu pret
are you ready	etes vous pret
are you ready	es tu prete
are you ready	etes vous prets
are you ready	etes vous pret
are you ready	etes vous prete
are you there	t es la
are you there	vous etes la
are you there	t es la
are you tired	etes vous fatigue
are you tired	etes vous fatigues
are you tired	etes vous las
are you tired	etes vous lasses
are you tired	etes vous fatiguees
are you tired	etes vous fatiguee
are you young	etes vous jeune
are you young	es tu jeune
are you young	etes vous jeunes
be a good boy	sois un chic type
be a good boy	soyez un chic type
be a good boy	sois un bon garcon
be a good boy	soyez un bon garcon
be respectful	sois respectueuse
be respectful	sois respectueux
be respectful	soyez respectueuse
be respectful	soyez respectueux
be respectful	soyez respectueuses
beat it kids	degagez les gamins
beware of dog	attention au chien
bring a lunch	apporte a dejeuner
bring a lunch	apporte a diner
bring it here	apporte le ici
bring it here	apportez le ici
bring the key	apporte la cle
bring the key	emmene la cle
call a doctor	appelle un medecin
call the cops	appelle les flics
call the cops	appellez les flics
can i ask who	puis je demander qui
can i ask why	puis je demander pourquoi
can he see me	peut il me voir
can he see us	peut il nous voir
can you drive	sais tu conduire
can you pitch	sais tu lancer
can you pitch	savez vous lancer
can you skate	sais tu patiner
close the box	ferme la boite
close the box	fermez la boite
cook the rice	cuisez le riz
could i do it	pourrais je le faire
could we walk	pourrions nous marcher
dance with me	danse avec moi
dance with me	dansez avec moi
did i do that	ai je fait cela
did that work	ca a marche
did that work	ca a fonctionne
did you do it	l as tu fait
did you do it	l avez vous fait
do it quickly	fais le vite
do it quickly	faites le vite
do me a favor	fais moi une faveur
don t be long	ne sois pas long
don t be mean	ne sois pas mesquin
don t be mean	ne sois pas mesquine
don t be mean	ne soyez pas mesquin
don t be mean	ne soyez pas mesquine
don t be rude	ne sois pas impoli
don t be rude	ne sois pas impolie
don t be rude	ne soyez pas impoli
don t be rude	ne soyez pas impolie
don t call me	ne m appelle pas
don t deny it	ne le nie pas
don t deny it	ne le niez pas
don t despair	ne desesperez pas
don t despair	ne desespere pas
don t do that	ne fais pas ca
don t do that	ne faites pas ca
don t do this	ne fais pas ca
don t do this	ne faites pas ca
don t get fat	ne deviens pas gras
don t give up	ne laisse pas tomber
don t give up	ne laissez pas tomber
don t kill me	ne me tue pas
don t kill me	ne me tuez pas
don t push it	ne le pousse pas
don t push it	pousse pas le bouchon
don t push it	poussez pas le bouchon
don t push me	ne me pousse pas
don t push me	ne me poussez pas
don t push me	ne me pousse pas
don t push me	ne me poussez pas
don t tell me	m en parle pas
draw a circle	trace un cercle
draw a circle	trace un cercle
draw a circle	tracez un cercle
dry your eyes	seche tes larmes
dry your eyes	essuie tes yeux
eat and drink	mangez et buvez
eat and drink	mange et bois
feed the bird	nourris l oiseau
feed the bird	nourris l oiseau
get some rest	prenez quelque repos
get your coat	prends ton manteau
god bless you	dieu vous benisse
god bless you	dieu te benisse
god knows why	dieu sait pourquoi
hang on tight	accroche toi bien
hang on tight	accrochez vous bien
hang on tight	accroche toi bien
hang on tight	accrochez vous bien
have a cookie	prends un biscuit
have him come	fais le venir
have some ham	prends du jambon
have some ham	prenez du jambon
he cracked up	il a disjoncte
he dropped it	il laissa tomber
he fooled her	il la dupa
he has a book	il a un livre
he has a cold	il a attrape froid
he has a maid	il a une servante
he hugged her	il l enlaca
he ignored me	il m ignora
he killed him	il le tua
he left early	il partit tot
he lied to me	il m a menti
he liked that	il aima cela
he liked that	il apprecia cela
he shot at me	il me tira dessus
he talks well	il parle bien
he tries hard	il s efforce
he walks fast	il marche vite
he walks fast	il marche rapidement
he was stoned	il fut lapide
help yourself	servez vous
help yourself	sers toi
hold the door	retiens la porte
hold the door	retenez la porte
hold the rope	tenez la corde
how big is he	il est grand comment
how big is it	c est grand comment
how can i pay	comment puis je payer
how can it be	comment se peut il
how s the dog	comment va le chien
i always lose	je perds toujours
i always walk	je marche toujours
i became rich	je devins riche
i believe you	je te crois
i believe you	je vous crois
i can do this	je peux le faire
i can explain	je peux expliquer
i can survive	je peux survivre
i can t do it	je n y arrive pas
i can t do it	je n y parviens pas
i cried a lot	j ai beaucoup pleure
i despise tom	je meprise tom
i despise you	je te meprise
i despise you	je vous meprise
i did see him	je l ai vu
i didn t know	je ne savais pas
i do like you	je vous apprecie vraiment
i do like you	je t apprecie vraiment
i don t dance	je ne danse pas
i don t drink	je ne bois pas
i don t smoke	je ne fume pas
i don t snore	je ne ronfle pas
i don t steal	je ne vole pas
i fear no one	je ne crains personne
i fed the dog	je nourris le chien
i fed the dog	je nourris la chienne
i feel hungry	j ai faim
i feel it now	je le sens maintenant
i feel my age	mon age me pese
i forbid that	j interdis cela
i forgive you	je te pardonne
i freaked out	j ai flippe
i had to stay	il me fallait rester
i had to stop	il me fallait arreter
i had to stop	il me fallait cesser
i had to stop	il me fallut arreter
i had to stop	il me fallut cesser
i had to work	j ai du travailler
i hate flying	je deteste voler
i hate losing	je deteste perdre
i hate myself	je me deteste
i have a cold	j ai un rhume
i have a date	j ai un rencard
i have a wife	j ai une femme
i have failed	j ai echoue
i have tenure	je suis titulaire
i have to run	il me faut courir
i have to try	il me faut essayer
i ignored him	je l ignorai
i know myself	je me connais
i like my job	j aime mon travail
i lost my dog	je perdis mon chien
i lost my key	je perdis la cle
i lost my key	je perdis la clef
i love boston	j adore boston
i love baking	j adore cuisiner
i love my job	j adore mon boulot
i love myself	je m aime
i made a list	je fis une liste
i made a list	je dressai une liste
i miss my cat	mon chat me manque
i miss my cat	ma chatte me manque
i miss my mom	ma maman me manque
i must fix it	je dois le reparer
i must go now	je dois partir maintenant
i must insist	je dois insister
i must refuse	je dois refuser
i ought to go	il me faut partir
i outrank you	je te depasse
i outrank you	je vous depasse
i own a horse	je possede un cheval
i ran outside	je courus dehors
i resent that	ca me deplait
i respect you	je vous respecte
i respect you	je te respecte
i see a light	je vois une lumiere
i see a queen	je vois une reine
i see the boy	je vois le garcon
i should quit	je devrais abandonner
i slept a lot	j ai beaucoup dormi
i support him	je le soutiens
i took a bath	je pris un bain
i use firefox	j utilise firefox
i want a book	je veux un livre
i want a pool	je veux une piscine
i wanted this	je voulais ceci
i was ashamed	j avais honte
i was at home	j etais chez moi
i was at work	j etais au travail
i was careful	j etais prudente
i was curious	j etais curieuse
i was curious	j etais curieux
i was furious	j etais furieux
i was relaxed	j etais detendu
i was relaxed	j etais detendue
i was stunned	j etais scie
i was stunned	j etais sciee
i was too shy	j etais trop timide
i was worried	j etais inquiete
i went inside	je suis entre
i woke you up	je t ai reveille
i woke you up	je vous ai reveillee
i woke you up	je vous ai reveillees
i woke you up	je vous ai reveilles
i woke you up	je vous ai reveille
i woke you up	je t ai reveillee
i worked hard	je travaillais dur
i ll get some	j irai en chercher
i ll get them	j irai les chercher
i ll get this	je vais prendre ceci
i ll go ahead	j irai en avant
i ll go first	j irai en premier
i ll go first	je passerai en premier
i ll kill you	je vais te tuer
i ll miss you	tu vas me manquer
i ll stop now	je vais arreter maintenant
i ll take one	j en prendrai un
i ll take one	j en prendrai une
i ve finished	j ai termine
i ve finished	j ai fini
i ve found it	je l ai trouve
i ve got eyes	j ai des yeux
is he at home	est il chez lui
is he looking	regarde t il
is it damaged	est ce endommage
is it genuine	est ce veritable
is it my turn	c est mon tour
is it my turn	est ce mon tour
is it painful	est ce douloureux
is it serious	c est grave
is it serious	est ce serieux
is it too big	est ce trop grand
is that right	est ce exact
is this legal	est ce legal
is this legal	est ce licite
it came apart	c est casse
it gets worse	ca s aggrave
it had snowed	il avait neige
it is a curse	c est une malediction
it is the law	c est la loi
it is too hot	il fait trop chaud
it made sense	c etait logique
it smells bad	ca sent mauvais
it was a gift	c etait un cadeau
it was a mess	c etait la pagaille
it was a mess	c etait le bordel
it was a test	c etait un test
it was a test	c etait un examen
it was boring	c etait barbant
it was broken	c etait casse
it was broken	il etait casse
it was simple	c etait simple
it was superb	ce fut magnifique
it won t work	ca ne marchera pas
it works fine	ca marche bien
it works well	ca fonctionne bien
